LEMMA,DEFINITION,EXAMPLE,POS
posture,capability in terms of personnel and materiel that affect the capacity to fight a war,politicians have neglected our military posture,n
sister,a female person who is a fellow member of a sorority or labor union or other group,none of her sisters would betray her,n
quizzically,in a quizzical and questioning manner,they looked quizzically at the doctor,r
choke,"breathe with great difficulty, as when experiencing a strong emotion",She choked with emotion when she spoke about her deceased husband,v
ragged,worn out from stress or strain,run ragged,s
kingly,having the rank of or resembling or befitting a king,the murder of his kingly guest,s
play,(in games or plays or other performances) the time during which play proceeds,rain stopped play in the 4th inning,n
aftermath,the consequences of an event (especially a catastrophic event),the aftermath of war,n
demobilization,act of changing from a war basis to a peace basis including disbanding or discharging troops,demobilization of factories,n
defunct,no longer in force or use; inactive,a defunct organization,s
cataclysmic,severely destructive,cataclysmic nuclear war,s
shade,a slight amount or degree of difference,the new model is a shade better than the old one,n
securely,in a secure manner; in a manner free from danger,she held the child securely,r
mold,become moldy; spoil due to humidity,The furniture molded in the old house,v
scale,an ordered reference standard,judging on a scale of 1 to 10,n
uppermost,in or into the highest position,the blade turned uppermost,r
uncut,not shaped by cutting or trimming,an uncut diamond,a
solar,relating to or derived from the sun or utilizing the energies of the sun,solar eclipse,a
element,an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system,a component or constituent element of a system,n
tentacle,something that acts like a tentacle in its ability to grasp and hold,caught in the tentacles of organized crime,n
appraising,exercising or involving careful evaluations,looked him over with an appraising eye,s
dewy-eyed,exhibiting childlike simplicity and credulity,dewy-eyed innocence,s
extortionate,greatly exceeding bounds of reason or moderation,extortionate prices,s
ballpark,near to the scope or range of something,his answer wasn't even in the right ballpark,n
richness,the quality of having high intrinsic value,the richness of the mines and pastureland,n
never,not at all; certainly not; not in any circumstances,never fear,r
masculine,(music or poetry) ending on an accented beat or syllable,a masculine cadence,s
riddled,(often followed by `with') damaged throughout by numerous perforations or holes,cliffs riddled with caves,s
sure,having or feeling no doubt or uncertainty; confident and assured,was sure (or certain) she had seen it,a
ethnically,with respect to ethnicity,the neighborhood is ethnically diverse,r
invisible,impossible or nearly impossible to see; imperceptible by the eye,the invisible man,a
clocking,the time taken to traverse a measured course,it was a world record clocking,n
high,greater than normal in degree or intensity or amount,the high point of his career,a
grace,(Christian theology) a state of sanctification by God; the state of one who is under such divine influence,the Virgin lived in a state of grace,n
manic,affected with or marked by frenzy or mania uncontrolled by reason,outbursts of drunken violence and manic activity and creativity,s
documented,furnished with or supported by documents,the first documented case of shark attack in those waters,a
pleural,of or relating to the pleura or the walls of the thorax,pleural muscles,a
wallow,an indolent or clumsy rolling about,a good wallow in the water,n
revamp,to patch up or renovate; repair or restore,They revamped their old house before selling it,v
shadiness,of questionable honesty or legality,the shadiness of their transactions,n
rotation,a planned recurrent sequence (of crops or personnel etc.),the manager had only four starting pitchers in his rotation,n
seventhly,in the seventh place,"seventhly, you have no right to cancel the lease in mid-year",r
parental,relating to or characteristic of or befitting a parent,parental guidance,a
sacred,worthy of religious veneration,the sacred name of Jesus,s
Bengali,of or relating to or characteristic of Bengal or its people,Bengali hills,a
effectively,in an effective manner,these are real problems that can be dealt with most effectively by rational discussion,r
thirdhand,by doubly indirect means,I got the news thirdhand,r
gutsy,"marked by courage and determination in the face of difficulties or danger; robust and uninhibited; it was a gutsy thing to do""",a gutsy red wine,a
interrogative,relating to verbs in the so-called interrogative mood,not all questions have an interrogative construction,a
shoveler,a worker who shovels,a shoveler of coal,n
reputedly,by repute; according to general belief,fish with reputedly poisonous flesh,r
company,a band of people associated temporarily in some activity,the company of cooks walked into the kitchen,n
honorific,conferring or showing honor or respect,honorific social status commonly attaches to membership in a recognized profession,s
genic,of or relating to or produced by or being a gene,genic combinations,a
dental,of or relating to dentistry,dental student,a
matchwood,fragments of wood,it was smashed into matchwood,n
withdrawal,"the act of withdrawing blood, tumors, etc.",the nurse was expert at the withdrawal of blood,n
Neoplatonism,a system of philosophical and theological doctrines composed of elements of Platonism and Aristotelianism and oriental mysticism; its most distinctive doctrine holds that the first principle and source of reality transcends being and thought and is naturally unknowable,Neoplatonism was predominant in pagan Europe until the 6th century,n
discredit,the state of being held in low esteem,your actions will bring discredit to your name,n
wonder,something that causes feelings of wonder,the wonders of modern science,n
private,an enlisted man of the lowest rank in the Army or Marines,our prisoner was just a private and knew nothing of value,n
hot,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,a hot new book,a
meteorological,"of or pertaining to atmospheric phenomena, especially weather and weather conditions",meteorological chart,a
visit,assail,He was visited with a terrible illness that killed him quickly,v
gregarious,instinctively or temperamentally seeking and enjoying the company of others,he is a gregarious person who avoids solitude,s
gratingly,in a harsh and grating manner,her voice fell gratingly on our ears,r
softly,in a manner that is pleasing to the senses,she smiled softly,r
left,toward or on the left; also used figuratively,he looked right and left,r
queen-size,(used especially of beds) not as large as king-size,a queen-sized bed,s
untidy,not neat and tidy,an untidy living room,a
giving,given or giving freely,Saturday's child is loving and giving,s
husky,muscular and heavily built,clothing sizes for husky boys,s
lively,filled with events or activity,a lively period in history,s
fresh,(of a cycle) beginning or occurring again,fresh ideas,s
now,without delay or hesitation; with no time intervening,Come here now!,r
evidential,serving as or based on evidence,evidential signs of a forced entry,s
easy,without speed (`slow' is sometimes used informally for `slowly'),go easy here--the road is slippery,r
meaningfully,in a meaningful manner; so as to be meaningful,He glanced at her meaningfully,r
phantom,something apparently sensed but having no physical reality,the amputee's illusion of a phantom limb,s
fully,sufficiently; more than adequately,the evidence amply (or fully) confirms our suspicions,r
aphasic,related to or affected by aphasia,aphasic speech,a
material,directly relevant to a matter especially a law case,his support made a material difference,a
radio,indicating radiation or radioactivity,radiochemistry,a
significant,important in effect or meaning,a significant change in the Constitution,a
sociality,the tendency to associate with others and to form social groups,mammals as a class are not strong on sociality,n
natural,in accordance with nature; relating to or concerning nature,natural science,a
double-bedded,having a double bed,a double-bedded room,s
short,not holding securities or commodities that one sells in expectation of a fall in prices,a short sale,a
subordinate,subject or submissive to authority or the control of another,a subordinate kingdom,a
mediate,acting through or dependent on an intervening agency,the disease spread by mediate as well as direct contact,a
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something,able to get a grant for the project,a
lockstep,a manner of marching in file in which each person's leg moves with and behind the corresponding leg of the person ahead,the prisoner's ankles were so chained together that they could only march in lockstep,n
indifferently,with indifference; in an indifferent manner,she shrugged indifferently,r
confusing,lacking clarity of meaning; causing confusion or perplexity,sent confusing signals to Iraq,s
light,weak and likely to lose consciousness,light-headed from lack of sleep,s
high,a high place,they stood on high and observed the countryside,n
precarious,affording no ease or reassurance,a precarious truce,s
alter,cause to change; make different; cause a transformation,The advent of the automobile may have altered the growth pattern of the city,v
salient,having a quality that thrusts itself into attention,salient traits,s
confident,having or marked by confidence or assurance,a confident speaker,a
stockinged,wearing stockings,walks about in his stockinged feet,s
pushcart,wheeled vehicle that can be pushed by a person; may have one or two or four wheels,their pushcart was piled high with groceries,n
plane,"having a surface without slope, tilt in which no part is higher or lower than another",a plane surface,s
pesky,causing irritation or annoyance,a pesky mosquito,s
unrenewable,that can not be renewed,books on that shelf are unrenewable,a
standard,commonly used or supplied,standard procedure,s
childlike,befitting a young child,childlike charm,s
caboodle,any collection in its entirety,she bought the whole caboodle,n
around,in the area or vicinity,waited around for the next flight,r
distinct,(often followed by `from') not alike; different in nature or quality,plants of several distinct types,s
glyceride,an ester of glycerol and fatty acids that occurs naturally as fats and fatty oils,fresh fats contain glycerides of fatty acids and very little free acid,n
appreciably,to a noticeable degree,they weather was appreciably colder,r
spoor,the trail left by a person or an animal; what the hunter follows in pursuing game,the hounds followed the fox's spoor,n
surface,the outer boundary of an artifact or a material layer constituting or resembling such a boundary,the cloth had a pattern of red dots on a white surface,n
spectral,of or relating to a spectrum,spectral analysis,a
foreign,of concern to or concerning the affairs of other nations (other than your own),a foreign office,a
back,related to or located at the back,the back yard,a
improvement,a condition superior to an earlier condition,the new school represents a great improvement,n
line,a short personal letter,drop me a line when you get there,n
respect,a courteous expression (by word or deed) of esteem or regard,be sure to give my respects to the dean,n
preparation,(music) a note that produces a dissonant chord is first heard in a consonant chord,the resolution of one dissonance is often the preparation for another dissonance,n
dishy,(informal British) sexually attractive,a dishy blonde,s
hobnailed,marked by the wearing of heavy boots studded with hobnails,hobnailed laborers,s
discontent,showing or experiencing dissatisfaction or restless longing,was discontented with his position,a
neurotic,characteristic of or affected by neurosis,neurotic disorder,a
do,behave in a certain manner; show a certain behavior; conduct or comport oneself,"The dog acts ferocious, but he is really afraid of people",v
biradial,showing both bilateral and radial symmetry,some sea anemones are biradial,s
diplomatic,using or marked by tact in dealing with sensitive matters or people,the hostess averted a confrontation with a diplomatic chenage of subject,a
laughing,showing or feeling mirth or pleasure or happiness,laughing children,s
gearshift,a mechanical device for engaging and disengaging gears,in Britain they call a gearshift a gear lever,n
undivided,not separated into parts or shares; constituting an undivided unit,an undivided interest in the property,s
sidearm,(of pitches) made with the arm moving parallel to the ground,a sidearm pitch,a
apparatchik,a humorous but derogatory term for an official of a large organization (especially a political organization),Democratic apparatchiks,n
affable,diffusing warmth and friendliness,an affable smile,s
design,a preliminary sketch indicating the plan for something,the design of a building,n
connective,connecting or tending to connect,connective remarks between chapters,s
contrabass,pitched an octave below normal bass instrumental or vocal range,contrabass or double-bass clarinet,s
drugless,without the use of drugs,drugless therapy,s
chance,a possibility due to a favorable combination of circumstances,now is your chance,n
live,exerting force or containing energy,a live ball is one in play,a
faithless,"having the character of, or characteristic of, a traitor",the faithless Benedict Arnold,s
breed,have young (animals) or reproduce (organisms),pandas rarely breed in captivity,v
cursed,deserving a curse; sometimes used as an intensifier,villagers shun the area believing it to be cursed,a
right,in or into a satisfactory condition,put things right,s
handleless,having no handle,sleek cabinets with apparently handleless doors,a
house,the members of a business organization that owns or operates one or more establishments,he worked for a brokerage house,n
organismic,of or relating to or belonging to an organism (considered as a whole),the organismic theory of the state,a
explosive,serving to explode or characterized by explosion or sudden outburst,an explosive device,a
feel,an intuitive awareness; ,"he has a feel for animals"" or ""it's easy when you get the feel of it",n
heliacal,pertaining to or near the sun; especially the first rising of a star after and last setting before its invisibility owing to its conjunction with the sun,the heliacal rising of the Dog Star,a
futile,unproductive of success,futile years after her artistic peak,s
undue,not yet payable,an undue loan,a
sharp,harsh,sharp criticism,s
laugh,a facial expression characteristic of a person laughing,his face wrinkled in a silent laugh of derision,n
narcotic,inducing mental lethargy,a narcotic speech,s
cursorily,without taking pains,he looked cursorily through the magazine,r
rhyming,having corresponding sounds especially terminal sounds,rhyming words,a
cookhouse,a detached or outdoor shelter for cooking,the circus used a tent as their cookhouse,n
hegemony,the dominance or leadership of one social group or nation over others,the consolidation of the United States' hegemony over a new international economic system,n
floor,the legislative hall where members debate and vote and conduct other business,there was a motion from the floor,n
studied,produced or marked by conscious design or premeditation,a studied smile,a
flash,tastelessly showy,a flash car,s
auroral,of or relating to the atmospheric phenomenon auroras,a prominent green line in the spectrum of the auroras is called the `auroral line',a
attributable,capable of being attributed,the collapse of the movement was attributable to a lack of morale,a
vascularity,the property being vascular,a prominent vascularity,n
cavernous,being or suggesting a cavern,vast cavernous chambers hollowed out of limestone,s
Rabelaisian,of or relating to or characteristic of Francois Rabelais or his works,Rabelaisian characters,a
unfirm,not firmly or solidly positioned,an unfirm stance,s
Christendom,the collective body of Christians throughout the world and history (found predominantly in Europe and the Americas and Australia),for a thousand years the Roman Catholic Church was the principal church of Christendom,n
pull,the force used in pulling,the pull of the moon,n
material,directly relevant to a matter especially a law case,a material witness,a
irregularly,having an irregular form,irregularly shaped solids,r
block,a number or quantity of related things dealt with as a unit,he reserved a large block of seats,n
funny,arousing or provoking laughter,funny stories that made everybody laugh,s
intensive,characterized by a high degree or intensity; often used as a combining form,research-intensive,s
premature,born after a gestation period of less than the normal time,a premature infant,a
sharply,very suddenly and to a great degree,prices rose sharply,r
macabre,shockingly repellent; inspiring horror,macabre tortures conceived by madmen,s
footer,(used only in combinations) the height or length of something in feet,he is a six-footer,n
attached,being joined in close association,all art schools whether independent or attached to universities,s
sort,a person of a particular character or nature,what sort of person is he?,n
system,a group of physiologically or anatomically related organs or parts,the body has a system of organs for digestion,n
navigable,able to be sailed on or through safely,navigable waters,s
didacticism,communication that is suitable for or intended to be instructive,the didacticism expected in books for the young,n
nosy,offensively curious or inquisitive,he flipped through my letters in his nosy way,s
blue,belonging to or characteristic of the nobility or aristocracy,blue blood,s
drop,a small indefinite quantity (especially of a liquid),a drop of each sample was analyzed,n
corrugated,shaped into alternating parallel grooves and ridges,the surface of the ocean was rippled and corrugated,s
depreciatory,tending to decrease or cause a decrease in value,depreciatory effects on prices,s
sharp,harsh,a sharp-worded exchange,s
topographical,concerned with topography,a topographical engineer,a
agreeable,prepared to agree or consent,agreeable to the plan,s
fractious,easily irritated or annoyed,an incorrigibly fractious young man,s
school,the period of instruction in a school; the time period when school is in session,stay after school,n
junior,used of the third or next to final year in United States high school or college,the junior class,s
speculative,showing curiosity,raised a speculative eyebrow,s
precision,the quality of being reproducible in amount or performance,note the meticulous precision of his measurements,n
incomplete,not complete or total; not completed,political consequences of incomplete military success,a
face,a part of a person that is used to refer to a person,he looked out at a roomful of faces,n
formation,natural process that causes something to form,the formation of gas in the intestine,n
formally,in a formal manner,he was dressed rather formally,r
vermin,any of various small animals or insects that are pests; e.g. cockroaches or rats,boys in the village have probably been shooting vermin,n
English,of or relating to or characteristic of England or its culture or people,English literature,a
medicinal,having the properties of medicine,medicinal properties,s
lubberly,inexperienced in seamanship,of all landlubbers the most lubberly,s
fierily,with passionate fervor,a fierily opinionated book,r
comprehensive,including all or everything,comprehensive coverage,a
censorious,harshly critical or expressing censure,was censorious of petty failings,s
unironed,(of linens or clothes) not ironed,a pile of unironed laundry,a
sentential,of or relating to a sentence,the sentential subject,a
blow-by-blow,providing great detail,a blow-by-blow account of the movie,s
quantity,an adequate or large amount,he had a quantity of ammunition,n
unstilted,flowing naturally and continuously,unstilted conversation,s
resuspend,put back into suspension,resuspend particles,v
fearful,experiencing or showing fear,fearful of criticism,s
dryness,objectivity and detachment,her manner assumed a dispassion and dryness very unlike her usual tone,n
bosomed,having a bosom as specified or having something likened to a bosom; usually used in compounds,full-bosomed women,s
bonelike,resembling bone,a bonelike tumor,s
cut,fashioned or shaped by cutting,cut velvet,a
bastion,a group that defends a principle,the last bastion of communism,n
silvern,having the white lustrous sheen of silver,a land of silver (or silvern) rivers where the salmon leap,s
offhand,with little or no preparation or forethought,trying to sound offhanded and reassuring,s
adaxial,nearest to or facing toward the axis of an organ or organism,the upper side of a leaf is known as the adaxial surface,a
coherent,sticking together,two coherent sheets,s
spine,the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved,the title and author were printed on the spine of the book,n
inextinguishable,difficult or impossible to extinguish,an inextinguishable flame,a
illustrious,having or conferring glory,an illustrious achievement,s
excellent,very good; of the highest quality,made an excellent speech,s
gentle,quiet and soothing,a gentle nocturne,s
doubtfully,in a doubtful manner,Gerald shook his head doubtfully,r
curtail,place restrictions on,curtail drinking in school,v
irreparable,"impossible to repair, rectify, or amend",irreparable damages,a
base,(used of metals) consisting of or alloyed with inferior metal,a base metal,s
effort,a notable achievement,the book was her finest effort,n
false,designed to deceive,a suitcase with a false bottom,s
victorious,having won,the victorious entry,s
noise,sound of any kind (especially unintelligible or dissonant sound),during the firework display that ended the gala the noise reached 98 decibels,n
descriptive,serving to describe or inform or characterized by description,a descriptive passage,a
genetic,occurring among members of a family usually by heredity,genetically transmitted features,s
loose,"having escaped, especially from confinement",dogs loose on the streets,s
sleeper,an unexpected hit,that movie was the sleeper of the summer,n
though,(postpositive) however,"it might be unpleasant, though",r
superficiality,shallowness in terms of affecting only surface layers of something,he ignored the wound because of its superficiality,n
clobber,informal terms for personal possessions,did you take all your clobber?,n
race,people who are believed to belong to the same genetic stock,some biologists doubt that there are important genetic differences between races of human beings,n
louche,of questionable taste or morality,a louche nightclub,s
old,just preceding something else in time or order,my old house was larger,s
fighting,the act of fighting; any contest or struggle,there was fighting in the streets,n
perceivable,capable of being perceived especially by sight or hearing,perceivable through the mist,s
tangle,a twisted and tangled mass that is highly interwoven,they carved their way through the tangle of vines,n
unpretentious,lacking pretension or affectation,an unpretentious country church,a
rectifiable,capable of being repaired or rectified,rectifiable wrongs,a
sordid,morally degraded,"the sordid details of his orgies stank under his very nostrils""- James Joyce",s
gigantic,so exceedingly large or extensive as to suggest a giant or mammoth,a gigantic redwood,s
framework,the underlying structure,providing a factual framework for future research,n
naive,marked by or showing unaffected simplicity and lack of guile or worldly experience,this naive simple creature with wide friendly eyes so eager to believe appearances,a
creditable,worthy of often limited commendation,the student's effort on the essay--though not outstanding--was creditable,s
catalytic,relating to or causing or involving catalysis,catalytic reactions,a
feisty,showing courage,the champion is faced with a feisty challenger,s
piece,a period of indeterminate length (usually short) marked by some action or condition,I need to rest for a piece,n
frivolous,not serious in content or attitude or behavior,a frivolous novel,a
chock-a-block,as completely as possible,it was chock-a-block full,r
sulkily,in a sulky manner,`What else could I do?' said Graham sulkily,r
comic,of or relating to or characteristic of comedy,comic hero,a
unsuspecting,(often followed by `of') not knowing or expecting; not thinking likely,an unsuspecting victim,s
pit,a surface excavation for extracting stone or slate,a British term for `quarry' is `stone pit',n
ponderable,capable of being weighed or considered,"something ponderable from the outer world--something of which we can say that its weight is so and so""- James Jeans",a
truncated,terminating abruptly by having or as if having an end or point cut off,truncated volcanic mountains,s
small,"(of children and animals) young, immature",small children,s
domesticity,the quality of being domestic or domesticated,a royal family living in unpretentious domesticity,n
rejective,rejecting or tending to reject,rejective or overcritical attitudes of disappointed parents,a
isolated,not close together in time,isolated instances of rebellion,s
terribly,used as intensifiers,terribly interesting,r
boisterous,violently agitated and turbulent,boisterous winds and waves,s
spread,fully extended in width,outspread wings,s
value,a numerical quantity measured or assigned or computed,the value assigned was 16 milliseconds,n
prominent,having a quality that thrusts itself into attention,a new theory is the most prominent feature of the book,s
fictional,formed or conceived by the imagination,a fictional character,s
ecology,the environment as it relates to living organisms,it changed the ecology of the island,n
rifle,a shoulder firearm with a long barrel and a rifled bore,he lifted the rifle to his shoulder and fired,n
raddled,used until no longer useful,battered trumpets and raddled radios,s
refill,a prescription drug that is provided again,the prescription specified only one refill,n
vitalize,make more lively or vigorous,The treatment at the spa vitalized the old man,v
sexual,having or involving sex,sexual reproduction,a
grungy,thickly covered with ingrained dirt or soot,a grungy kitchen,s
true,worthy of being depended on,he was true to his word,s
nearer,(comparative of `near' or `close') within a shorter distance,they drew nearer,r
glottochronological,pertaining to the study of the evolution of languages from a common source,glottochronological studies,a
infernally,extremely,infernally clever,r
warm,of a seeker; near to the object sought,you're getting warm,s
deep,extreme,in deep trouble,s
attack,ideas or actions intended to deal with a problem or situation,an attack on inflation,n
autobiographical,relating to or in the style of an autobiography,they compiled an autobiographical history of the movement,a
therewith,with that or this or it,"I have learned that whatever state I am, therewith to be content""- Phil.4:11",r
serious,of great consequence,marriage is a serious matter,s
experimentation,the testing of an idea,not all experimentation is done in laboratories,n
technocracy,a form of government in which scientists and technical experts are in control,technocracy was described as that society in which those who govern justify themselves by appeal to technical experts who justify themselves by appeal to scientific forms of knowledge,n
robustly,in a robust manner,he was robustly built,r
pleasant,(of persons) having pleasing manners or behavior,I didn't enjoy it and probably wasn't a pleasant person to be around,s
form,a category of things distinguished by some common characteristic or quality,sculpture is a form of art,n
humanist,of or pertaining to a philosophy asserting human dignity and man's capacity for fulfillment through reason and scientific method and often rejecting religion,"the humanist belief in continuous emergent evolution""- Wendell Thomas",a
attempt,the act of attacking,they made an attempt on his life,n
inflexible,resistant to being bent; ,an inflexible iron bar,a
different,distinctly separate from the first,that's another (or different) issue altogether,s
shipboard,casual or ephemeral as if taking place on board a ship,shipboard romances,s
national,concerned with or applicable to or belonging to an entire nation or country,the national highway system,a
raddled,showing the wearing effects of overwork or care or suffering,that raddled but still noble face,s
crystallized,having become fixed and definite in form,"distinguish between crystallized and uncrystallized opinion""- Psychological Abstracts",a
niggling,(informal) small and of little importance,a dispute over niggling details,s
downright,characterized by plain blunt honesty,a downright kind of person,s
payroll,a list of employees and their salaries,the company had a long payroll,n
tear,fill with tears or shed tears,Her eyes were tearing,v
involved,enveloped,a castle involved in mist,s
hygienic,tending to promote or preserve health,hygienic surroundings with plenty of fresh air,s
naval,connected with or belonging to or used in a navy,naval history,a
bout,a period of illness,a bout of depression,n
elegiac,expressing sorrow often for something past,an elegiac lament for youthful ideals,s
resistless,offering no resistance,resistless hostages,s
favorably,showing approval,he reviewed the play favorably,r
picture,a typical example of some state or quality,she was the picture of despair,n
intramuscular,within a muscle,an intramuscular injection,a
proven,established beyond doubt,a Soviet leader of proven shrewdness,a
scorched,having everything destroyed so nothing is left salvageable by an enemy,Sherman's scorched earth policy,s
squinched,having eyes half closed in order to see better,squinched eyes,s
clubby,effusively sociable,we got rather clubby,s
minimal,the least possible,her grades were minimal,a
supernatural,supernatural forces and events and beings collectively,She doesn't believe in the supernatural,n
unique,highly unusual or rare but not the single instance,a frankness unique in literature,s
unpaid,not paid,unpaid wages,a
inconsistent,not capable of being made consistent or harmonious,inconsistent accounts,s
transparent,easily understood or seen through (because of a lack of subtlety),a transparent explanation,s
ungodly,characterized by iniquity; wicked because it is believed to be a sin,ungodly acts,s
salubrious,promoting health; healthful,"the salubrious mountain air and water""- C.B.Davis",s
oiled,treated with oil,an oiled walnut table,a
recovery,return to an original state,the recovery of the forest after the fire was surprisingly rapid,n
hysteric,characterized by or arising from psychoneurotic hysteria,"during hysterical conditions various functions of the human body are disordered""- Morris Fishbein",s
form,an arrangement of the elements in a composition or discourse,he first sketches the plot in outline form,n
honorably,in an honorable manner,he acted honorably,r
resolute,firm in purpose or belief; characterized by firmness and determination,faced with a resolute opposition,a
teasingly,in a playfully teasing manner,"`You hate things to be out of order, don't you?' she said teasingly",r
afraid,filled with regret or concern; used often to soften an unpleasant statement,I'm afraid I won't be able to come,s
downright,complete and without restriction or qualification; sometimes used informally as intensifiers,a downright lie,s
ice,diamonds,look at the ice on that dame!,n
hard,unfortunate or hard to bear,had hard luck,s
vague,not clearly understood or expressed,"their descriptions of human behavior become vague, dull, and unclear""- P.A.Sorokin",s
keyless,lacking or not requiring a key,a keyless lock operated by a series of pushbuttons,a
solicitous,full of anxiety and concern,solicitous parents,s
close,used of hair or haircuts,a close military haircut,s
getatable,capable of being reached or attained,both oil and coal are there but not in getatable locations,s
help,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,they hired additional help to finish the work,n
regionally,in a regional manner,regionally governed,r
charged,fraught with great emotion,an atmosphere charged with excitement,s
finish,the act of finishing,his best finish in a major tournament was third,n
sure,impossible to doubt or dispute,indisputable (or sure) proof,s
technically,with regard to technique,a technically brilliant boxer,r
Stygian,hellish,"Hence loathed Melancholy.../In Stygian cave forlorn""- Milton",s
private,concerning things deeply private and personal,private correspondence,s
venous,of or contained in or performing the function of the veins,venous blood as contrasted with arterial blood,a
imitative,marked by or given to imitation,man is an imitative being,a
log,a written record of messages sent or received,an email log,n
retinal,in or relating to the retina of the eye,retinal cells,a
inhumanely,in an inhumane manner,the prisoners of war were treated inhumanely,r
phage,a virus that is parasitic (reproduces itself) in bacteria,phage uses the bacterium's machinery and energy to produce more phage until the bacterium is destroyed and phage is released to invade surrounding bacteria,n
disorganized,lacking order or methodical arrangement or function,a disorganized enterprise,a
banteringly,in a bantering fashion,he spoke to her banteringly,r
short,not sufficient to meet a need,short on experience,s
tempered,adjusted or attuned by adding a counterbalancing element,criticism tempered with kindly sympathy,a
wanting,inadequate in amount or degree,tested and found wanting,s
dead-on,accurate and to the point,"She avoids big scenes...preferring to rely on small gestures and dead-on dialogue""- Peter S.Prescott",s
superior,of high or superior quality or performance,superior wisdom derived from experience,a
Creole,of or relating to a language that arises from contact between two other languages and has features of both,Creole grammars,a
vegetative,composed of vegetation or plants,the decaying vegetative layer covering a forest floor,a
baleful,deadly or sinister,the Florida eagles have a fierce baleful look,s
line,the descendants of one individual,his entire lineage has been warriors,n
glossy,(of paper and fabric and leather) having a surface made smooth and glossy especially by pressing between rollers,glossy paper,s
cunningly,in an artful manner,had ever circumstances conspired so cunningly?,r
wink,signal by winking,She winked at him,v
unexpended,not used up,unexpended provisions,s
courtroom,a room in which a lawcourt sits,television cameras were admitted in the courtroom,n
express,not tacit or implied,her express wish,s
overland,traveling or passing over land,the overland route used by Marco Polo,s
voice,a means or agency by which something is expressed or communicated,the Times is not the voice of New York,n
longevity,duration of service,had unusual longevity in the company,n
stimulant,that stimulates,stimulant phenomena,s
elfin,relating to or made or done by or as if by an elf,elfin bells,a
flavorless,lacking taste or flavor or tang,flavorless supermarket tomatoes,s
presumptuous,excessively forward,the duchess would not put up with presumptuous servants,s
rock,(figurative) someone who is strong and stable and dependable,he was her rock during the crisis,n
even,in spite of; notwithstanding,even with his head start she caught up with him,r
desolate,crushed by grief,a low desolate wail,s
population,the act of populating (causing to live in a place),he deplored the population of colonies with convicted criminals,n
remedy,provide relief for,remedy his illness,v
defiant,boldly resisting authority or an opposing force,a defiant attitude,a
run,a race run on foot,she broke the record for the half-mile run,n
mind,an opinion formed by judging something,she changed her mind,n
ineffectual,producing no result or effect,the therapy was ineffectual,s
suavely,with suavity; in a suave manner,he is suavely charming and all the ladies love him,r
unpatronized,having little patronage or few clients,a restaurant unpatronized by the elite,a
diluted,reduced in strength or concentration or quality or purity,diluted alcohol,a
steadily,in a steady manner,he could still walk steadily,r
nominal,"of, relating to, or characteristic of an amount that is not adjusted for inflation",nominal interest rates,a
gay,brightly colored and showy,birds with gay plumage,s
soled,having a sole or soles especially as specified; used in combination,half-soled,a
tenuity,the quality of lacking intensity or substance,"a shrill yet sweet tenuity of voice""- Nathaniel Hawthorne",n
professional,characteristic of or befitting a profession or one engaged in a profession,professional ethics,a
bluff,bluntly direct and outspoken but good-natured,a bluff and rugged natural leader,s
bloodsucking,of plants or persons; having the nature or habits of a parasite or leech; living off another,bloodsucking blackmailer,s
light,of little intensity or power or force,the light touch of her fingers,a
distribution,"the spatial or geographic property of being scattered about over a range, area, or volume",worldwide in distribution,n
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,a sharp knife,a
overactivity,excessive activity,overactivity of the sebaceous glands causes the skin to become oily,n
translatable,capable of being changed in substance as if by alchemy,ideas translatable into reality,s
any,one or some or every or all without specification,any day now,s
communication,the activity of communicating; the activity of conveying information,they could not act without official communication from Moscow,n
identifiably,in an identifiable manner,they were identifiably different,r
vigorous,characterized by forceful and energetic action or activity,vigorous opposition to the war,s
succinctly,with concise and precise brevity; to the point,Please state your case as succinctly as possible,r
outside,very unlikely,an outside chance,s
lustrous,brilliant,set a lustrous example for others to follow,s
material,directly relevant to a matter especially a law case,facts likely to influence the judgment are called material facts,a
primitive,used of preliterate or tribal or nonindustrial societies,primitive societies,s
primitive,a word serving as the basis for inflected or derived forms,`pick' is the primitive from which `picket' is derived,n
step,the distance covered by a step,he stepped off ten paces from the old tree and began to dig,n
droll,comical in an odd or whimsical manner,a droll little man with a quiet tongue-in-cheek kind of humor,s
reaction,a bodily process occurring due to the effect of some antecedent stimulus or agent,a bad reaction to the medicine,n
empiric,derived from experiment and observation rather than theory,empirical laws,a
faultfinding,tending to make moral judgments or judgments based on personal opinions,a counselor tries not to be faultfinding,s
politically,with regard to government,politically organized units,r
consolation,the act of consoling; giving relief in affliction,his presence was a consolation to her,n
dumbly,in an inarticulate manner,I nodded dumbly and he slit the envelope,r
radical,especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem,radical leaves,a
fructify,bear fruit,the apple trees fructify,v
always,at all times; all the time and on every occasion,always arrives on time,r
